model,interface,task_id,family,difficulty,runs,pass_rate,cell_label,parse_failure_rate,premature_final_rate,loop_timeout_rate,policy_state_rate,avg_steps,avg_latency_sec,failure_subtypes
llama3.1:8b,tool_compiler,refund_medium_01,refund,medium,2,1.000,too_easy,0.000,0.000,0.000,0.000,4.00,9.78,{}
llama3.1:8b,tool_compiler,refund_hard_00,refund,hard,2,1.000,too_easy,0.000,0.000,0.000,0.000,9.50,23.05,{}
llama3.1:8b,tool_compiler,refund_hard_01,refund,hard,2,1.000,too_easy,0.000,0.000,0.000,0.000,6.00,14.61,{}
llama3.1:8b,tool_compiler,file_medium_00,file_email,medium,2,1.000,too_easy,0.000,0.000,0.000,0.000,3.50,8.58,{}
llama3.1:8b,tool_compiler,file_medium_01,file_email,medium,2,1.000,too_easy,0.000,0.000,0.000,0.000,3.50,8.69,{}
llama3.1:8b,tool_compiler,file_hard_00,file_email,hard,2,0.000,too_hard,0.000,0.000,1.000,0.000,12.00,29.11,"{""loop_or_timeout"": 2}"
llama3.1:8b,tool_compiler,file_hard_01,file_email,hard,2,0.000,too_hard,0.000,0.000,1.000,0.000,12.00,28.93,"{""loop_or_timeout"": 2}"
llama3.1:8b,tool_compiler,inventory_medium_00,inventory,medium,2,0.000,too_hard,0.000,0.000,1.000,0.000,8.00,19.24,"{""loop_or_timeout"": 2}"
llama3.1:8b,tool_compiler,inventory_medium_01,inventory,medium,2,0.000,too_hard,0.000,0.000,1.000,0.000,8.00,19.19,"{""loop_or_timeout"": 2}"
llama3.1:8b,tool_compiler,inventory_hard_00,inventory,hard,2,0.000,too_hard,0.000,0.000,1.000,0.000,12.00,28.87,"{""loop_or_timeout"": 2}"
llama3.1:8b,tool_compiler,inventory_hard_01,inventory,hard,2,0.000,too_hard,0.000,0.000,1.000,0.000,12.00,29.09,"{""loop_or_timeout"": 2}"
qwen2.5:14b,tool_compiler,calendar_medium_00,calendar,medium,2,1.000,too_easy,0.000,0.000,0.000,0.000,2.00,7.29,{}
qwen2.5:14b,tool_compiler,calendar_medium_01,calendar,medium,2,1.000,too_easy,0.000,0.000,0.000,0.000,2.00,5.95,{}
qwen2.5:14b,tool_compiler,calendar_hard_00,calendar,hard,2,0.500,calibrated,0.000,0.500,0.000,0.000,3.00,8.51,"{""premature_final"": 1}"
qwen2.5:14b,tool_compiler,calendar_hard_01,calendar,hard,2,1.000,too_easy,0.000,0.000,0.000,0.000,4.00,11.00,{}
qwen2.5:14b,tool_compiler,refund_medium_00,refund,medium,2,1.000,too_easy,0.000,0.000,0.000,0.000,3.00,7.84,{}
qwen2.5:14b,tool_compiler,refund_medium_01,refund,medium,2,1.000,too_easy,0.000,0.000,0.000,0.000,3.00,7.79,{}
qwen2.5:14b,tool_compiler,refund_hard_00,refund,hard,2,1.000,too_easy,0.000,0.000,0.000,0.000,3.00,7.74,{}
qwen2.5:14b,tool_compiler,refund_hard_01,refund,hard,2,1.000,too_easy,0.000,0.000,0.000,0.000,2.50,6.48,{}
qwen2.5:14b,tool_compiler,file_medium_00,file_email,medium,2,1.000,too_easy,0.000,0.000,0.000,0.000,3.00,7.91,{}
qwen2.5:14b,tool_compiler,file_medium_01,file_email,medium,2,1.000,too_easy,0.000,0.000,0.000,0.000,3.00,7.88,{}
qwen2.5:14b,tool_compiler,file_hard_00,file_email,hard,2,0.000,too_hard,0.000,0.000,1.000,0.000,12.00,36.02,"{""loop_or_timeout"": 2}"
qwen2.5:14b,tool_compiler,file_hard_01,file_email,hard,2,0.000,too_hard,0.000,0.000,1.000,0.000,12.00,35.47,"{""loop_or_timeout"": 2}"
qwen2.5:14b,tool_compiler,inventory_medium_00,inventory,medium,2,1.000,too_easy,0.000,0.000,0.000,0.000,2.00,5.22,{}
qwen2.5:14b,tool_compiler,inventory_medium_01,inventory,medium,2,1.000,too_easy,0.000,0.000,0.000,0.000,2.00,5.31,{}
qwen2.5:14b,tool_compiler,inventory_hard_00,inventory,hard,2,1.000,too_easy,0.000,0.000,0.000,0.000,2.00,5.27,{}
qwen2.5:14b,tool_compiler,inventory_hard_01,inventory,hard,2,1.000,too_easy,0.000,0.000,0.000,0.000,2.00,5.27,{}
