trace_id,model,interface,task_id,family,difficulty,fault_type,fault_prefix_index,mfp_category,mfp_index,delta_mfp_index,fault_to_mfp_distance,p0_failure_rate,failure_subtype,tested_prefixes
qwen2.5:7b::tool_compiler::calendar_hard_03::50022::precondition_skip,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,precondition_skip,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 13, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::calendar_hard_03::50023::date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,date_ambiguity,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 13, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::inventory_medium_00::50024::missing_field,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,missing_field,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 9, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::inventory_medium_00::50025::wrong_id,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,wrong_id,2,nontrivial_delta_mfp,2,2,0,0.000,policy_or_state_violation,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 9, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::inventory_medium_00::50026::stale_memory,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,stale_memory,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 9, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::inventory_medium_00::50027::precondition_skip,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,precondition_skip,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 9, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::inventory_medium_00::50028::missing_field,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,missing_field,2,nontrivial_delta_mfp,2,2,0,0.500,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.5}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 9, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::inventory_medium_00::50029::wrong_id,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,wrong_id,2,nontrivial_delta_mfp,2,2,0,0.000,policy_or_state_violation,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 9, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::inventory_medium_00::50030::stale_memory,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,stale_memory,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 9, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::inventory_medium_00::50031::precondition_skip,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,precondition_skip,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 9, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::inventory_medium_00::50032::missing_field,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,missing_field,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.5}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 9, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::inventory_medium_00::50033::wrong_id,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,wrong_id,2,nontrivial_delta_mfp,2,2,0,0.000,policy_or_state_violation,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 9, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::inventory_medium_00::50034::stale_memory,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,stale_memory,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 9, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::inventory_medium_00::50035::precondition_skip,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,precondition_skip,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 9, ""failure_rate"": 1.0}]"
qwen2.5:7b::raw_json::calendar_hard_01::50036::wrong_id,qwen2.5:7b,raw_json,calendar_hard_01,calendar,hard,wrong_id,2,nontrivial_delta_mfp,2,2,0,0.000,policy_or_state_violation,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 6, ""failure_rate"": 1.0}]"
qwen2.5:7b::raw_json::calendar_hard_01::50037::stale_memory,qwen2.5:7b,raw_json,calendar_hard_01,calendar,hard,stale_memory,2,nontrivial_delta_mfp,2,2,0,0.000,other_failure,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 6, ""failure_rate"": 1.0}]"
qwen2.5:7b::raw_json::calendar_hard_01::50038::precondition_skip,qwen2.5:7b,raw_json,calendar_hard_01,calendar,hard,precondition_skip,2,nontrivial_delta_mfp,2,2,0,0.000,other_failure,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 6, ""failure_rate"": 1.0}]"
qwen2.5:7b::raw_json::calendar_hard_01::50039::date_ambiguity,qwen2.5:7b,raw_json,calendar_hard_01,calendar,hard,date_ambiguity,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 13, ""failure_rate"": 1.0}]"
